Item,Description,Qty,Price
DiamondHFRST-BKRS,"Diamond Guitars Hailfire ST HFRST- BKRS - Black, Red Stripe",1,"TK49,000.00"
Adaptor,9v Adaptor,1,"TK1,250.00"
DiamondBOLLT3-SBK,Diamond Guitars Bolero BOLLT3-SBK - Satin Black,1,"TK29,000.00"
DiamondMAVSM14-SNA,Diamond Guitars Maverick MAVSM14-SNA - Satin Natural,1,"TK69,500.00"
ReverendDoubleAgentIIIWilkinsonMidnightBlackDAWbk,Reverend Double Agent III Wilkinson Guitar Midnight Black with Original Hard Case,1,"TK78,000.00"
DiamondBoleroBOLFM3-TGE,Diamond Bolero BOLFM3-TGE- Tiger's Eye,1,"TK65,000.00"
DiamondHalcyonHLCST-FR-GXR,Diamond Guitars Halcyon HLCST-FR-GXR - Galaxy Red,1,"TK49,500.00"
Prestige16016,Prestige Heritage Standard Sunburst FlameMaple AAA with Original Hardshell Casing,1,"TK122,500.00"
ReverendPeteAndersonEastsiderSSatinDeepSeaBlue,Reverend Pete Anderson Eastsider S Guitar Satin Deep Sea Blue with Original Hard Case,1,"TK90,000.00"
Zildzian Sticks,Zildzian Drums Sticks,1,"TK2,000.00"
SDSJB-3,Seymour Duncan Jazz Bass® 4-String Quarter Pound SJB-3 Bridge,1,"TK6,000.00"
Prestige16021,Prestige Heritage Elite Sunburst Flame Maple top AAA Black Trim with Hardshell Casing,1,"TK117,000.00"
ReverendDoubleAgentOriginalCoffeeBurstFlameMaple,Reverend Double Agent Original Guitar Coffee Burst Flame Maple with Original Hard Case,1,"TK70,000.00"
DiamondHailfireHFRST-BKSS,"Diamond Hailfire ST HFRST-BKSS - Black, Silver Stripes",1,"TK49,000.00"
Cordoba15CM,Cordoba Ukulele 15CM,1,"TK12,000.00"
Web Hosting,Web Hosting,1,"TK12,858.91"
Domain Transfer,Domain Transfer with one year extension,1,TK717.09
Domain Purchase,Domain Purchase,1,TK950.00
DiamondBoleroBOLSTF14-TR,Diamond Guitars Bolero STF BOLSTF14-TR - Trans Red,1,"TK57,000.00"
DiamondHalcyonHLCFM-FR-UV,Diamond Guitars Halcyon HLCFM-FR-UV - Ultra Violet,1,"TK57,000.00"
Prestige16019,Prestige Heritage Elite Black with Original Hardshell Casing,1,"TK130,000.00"
Elixir14002,Elixir Bass Strings Nanoweb  Super Light Long Scale (.040-.095),1,"TK3,350.00"
DiamondBoleroBOLLT3-SWA,Diamond Guitars Bolero LT BOLLT3-SWA - Satin Walnut,1,"TK29,000.00"
DiamondMaverickMAVLT14-SWA,Diamond Guitars Maverick LT MAVLT14-SWA- Satin Walnut,1,"TK41,000.00"
CordobaFusionGuitar12JETII,Cordoba Fusion Guitar 12 JET II Electro-Acoustic with Original Gig Bag,1,"TK46,500.00"
ENGLEN412VSB,ENGL EN412VSB 4x12 Vintage 30 Slanted Cabinet,1,"TK110,000.00"
ENGLFireBall100Head,ENGL Fire Ball 100 Head,1,"TK151,000.00"
ENGLEN112VB,ENGL Vintage 30 112 EN112VB Cabinet,1,"TK46,500.00"
ENGLIronBall20EN606,ENGL Iron Ball 20 EN 606 Head,1,"TK98,000.00"
SDBkWinterHBSet-B,Seymour Duncan Black Winter Set Humbucker Guitar Pickup Black,1,"TK18,000.00"
MicStandOnStage,On Stage DS300B Quik Release Desk Microphone Stand,1,"TK3,029.78"
SweetWaterBassStringsMartinMSP4850,"Martin MSP-4850 SP - 92/8 Medium Acoustic Bass Strings: .045-.105 Medium Gauge Acoustic Bass Strings, Phosphor Bronze",1,"TK2,195.00"
Prestige16012,Prestige Classic Sunburst Flame Maple AAA with Original Hardshell Casing,1,"TK115,000.00"
SDNazgulb-B,Seymour Duncan Nazgûl 6 String Bridge Humbucker - Black,1,"TK9,000.00"
ReverendMERCALLI5FMViolinBurstFlameMaple,Reverend MERCALLI 5 FM Violin Burst Flame Maple Bass with Original Hard Case,1,"TK99,500.00"
ReverendSensei290TobaccoBurst,Reverend Sensei 290 Tobacco Burst with Original Hard Case,1,"TK80,000.00"
DunlopStringWinder,Dunlop String Winder,1,TK350.00
StewMacLow-profile2-wayTrussRodAcousticGuitar,"Low-profile 2-way Truss Rod for Acoustic Guitar: 14-1/4""",1,"TK1,500.00"
MicStandUSDM,Ultimate Support Custom Chrome Dark Magic,1,"TK24,000.00"
MicStandHMS401B,Hercules MS 401B Tilt Base,1,"TK11,000.00"
DrumsAccessoriesEEQ,Evans EQ Pad Bass Drum Muffler,1,"TK2,500.00"
DrumsAccessoriesEG2RP,Evans G2 Coated Rock Pack,1,"TK3,950.00"
DrumsAccessoriesKickPort,"KickPort International Bass Drum Enhancer, Black",1,"TK4,500.00"
DrumsAccessoriesTTW100,Tama TW100 Tension Watch,1,"TK7,500.00"
DrumsSticksNB6000,"Pro-Mark B600 Nylon Bristle Brush (White, Coarse) Pair",1,"TK2,200.00"
DrumsSticksPMCR,Pro-Mark Cool Rod Pair,1,"TK1,750.00"
CarvinVintage16,"Carvin Vintage 16 watt 1x12"" Combo",1,"TK65,000.00"
AllPartsHumbuckingPickupRingsNon-slantedBlackPC-0745-023,"Humbucking pickup ring set. Flat bottoms. Includes one short neck ring and one tall bridge ring. Non-slanted sides. Black Plastic. Outside dimensions 3-1/2"" x 1-3/4"". Inside dimensions 2-3/4"" x 1-1/2""",1,TK750.00
Paypal Transaction Cost,4% added for the Paypal transaction cost,1,TK600.00
EBowPlus,"Ebow EBow Plus Electronic Bow for Guitar: Handheld Battery-powered Electronic ""Energy Bow"" for Guitar",1,"TK8,000.00"
SDBooster,Seymour Duncan Booster Alanog Pedal,1,"TK8,500.00"
FernandesMontereyBass5DeluxeBlack,Fernandes Monterey® Bass 5 Deluxe Black with Original Hard Case,1,"TK95,000.00"
Battery,9 volt,1,TK300.00
GuitarAccessoriesDEC,Decibel Eleven Pedal Palette 4 Pedal Looper,1,"TK35,000.00"
Bass Bridge,Gotoh High Mass Bridge Golden,1,"TK21,500.00"
Pickup Ring,Pickup Ring,1,TK300.00
EffectsPedalFulltoneCatalyst,Fulltone CT-1 Catalyst Fuzz/Boost/Overdive Pedal,1,"TK13,500.00"
Dunlop6574DunlopBodyGloss,Dunlop 6574 Dunlop Body Gloss Wax: Cream of Carnauba,1,"TK1,000.00"
EHXSL,Steel Leather Bass Expander,1,"TK5,000.00"
