DiamondHFRST-BKRS,"Diamond Guitars Hailfire ST HFRST- BKRS - Black, Red Stripe",1,49000
Adaptor,9v Adaptor,1,1250
DiamondBOLLT3-SBK,Diamond Guitars Bolero BOLLT3-SBK - Satin Black,1,29000
DiamondMAVSM14-SNA,Diamond Guitars Maverick MAVSM14-SNA - Satin Natural,1,69500
ReverendDoubleAgentIIIWilkinsonMidnightBlackDAWbk,Reverend Double Agent III Wilkinson Guitar Midnight Black with Original Hard Case,1,78000
DiamondBoleroBOLFM3-TGE,Diamond Bolero BOLFM3-TGE- Tiger's Eye,1,65000
DiamondHalcyonHLCST-FR-GXR,Diamond Guitars Halcyon HLCST-FR-GXR - Galaxy Red,1,49500
Prestige16016,Prestige Heritage Standard Sunburst FlameMaple AAA with Original Hardshell Casing,1,122500
ReverendPeteAndersonEastsiderSSatinDeepSeaBlue,Reverend Pete Anderson Eastsider S Guitar Satin Deep Sea Blue with Original Hard Case,1,90000
Zildzian Sticks,Zildzian Drums Sticks,1,2000
SDSJB-3,Seymour Duncan Jazz Bass® 4-String Quarter Pound SJB-3 Bridge,1,6000
Prestige16021,Prestige Heritage Elite Sunburst Flame Maple top AAA Black Trim with Hardshell Casing,1,117000
ReverendDoubleAgentOriginalCoffeeBurstFlameMaple,Reverend Double Agent Original Guitar Coffee Burst Flame Maple with Original Hard Case,1,70000
DiamondHailfireHFRST-BKSS,"Diamond Hailfire ST HFRST-BKSS - Black, Silver Stripes",1,49000
Cordoba15CM,Cordoba Ukulele 15CM,1,12000
DiamondBoleroBOLSTF14-TR,Diamond Guitars Bolero STF BOLSTF14-TR - Trans Red,1,57000
DiamondHalcyonHLCFM-FR-UV,Diamond Guitars Halcyon HLCFM-FR-UV - Ultra Violet,1,57000
Prestige16019,Prestige Heritage Elite Black with Original Hardshell Casing,1,130000
Elixir14002,Elixir Bass Strings Nanoweb  Super Light Long Scale (.040-.095),1,3350
DiamondBoleroBOLLT3-SWA,Diamond Guitars Bolero LT BOLLT3-SWA - Satin Walnut,1,29000
DiamondMaverickMAVLT14-SWA,Diamond Guitars Maverick LT MAVLT14-SWA- Satin Walnut,1,41000
CordobaFusionGuitar12JETII,Cordoba Fusion Guitar 12 JET II Electro-Acoustic with Original Gig Bag,1,46500
